t,x,y,vx,vy,ax,ay
5.135838,0.920341,-0.944200,1.209494,0.168312,-0.102858,0.321864
5.185700,0.980515,-0.935416,1.203946,0.183870,-0.119655,0.301818
5.235563,1.040391,-0.925881,1.197566,0.198378,-0.136135,0.279769
5.285425,1.099928,-0.915651,1.190381,0.211743,-0.151925,0.256087
5.335288,1.159089,-0.904785,1.182433,0.223895,-0.166650,0.231146
5.385150,1.217835,-0.893345,1.173786,0.234779,-0.179936,0.205317
5.435013,1.276134,-0.881394,1.164519,0.244362,-0.191410,0.178974
5.484875,1.333958,-0.868998,1.154734,0.252625,-0.200705,0.152494
5.534738,1.391283,-0.856222,1.144544,0.259575,-0.207567,0.126349
5.584600,1.448093,-0.843133,1.134077,0.265240,-0.211833,0.101086
5.634463,1.504377,-0.829792,1.123465,0.269679,-0.213344,0.077254
5.684325,1.560131,-0.816258,1.112850,0.272977,-0.211939,0.055399
5.734188,1.615358,-0.802586,1.102381,0.275246,-0.207458,0.036072
5.784050,1.670071,-0.788824,1.092215,0.276626,-0.199741,0.019820
5.833913,1.724287,-0.775012,1.082518,0.277283,-0.188627,0.007192
5.883775,1.778035,-0.761181,1.073463,0.277412,-0.173957,-0.001263
5.933638,1.831352,-0.747352,1.065232,0.277235,-0.155569,-0.004998
5.983500,1.884282,-0.733534,1.058013,0.277001,-0.133344,-0.003518
6.033363,1.936882,-0.719725,1.051990,0.276966,-0.107745,0.002861
6.083225,1.989215,-0.705907,1.047309,0.277352,-0.079685,0.013204
6.133088,2.041349,-0.692056,1.044069,0.278333,-0.050088,0.026560
6.182950,2.093359,-0.678138,1.042324,0.280035,-0.019877,0.041978
6.232813,2.145320,-0.664116,1.042082,0.282538,0.010023,0.058507
6.282675,2.197305,-0.649948,1.043303,0.285872,0.038689,0.075196
6.332538,2.249386,-0.635594,1.045904,0.290023,0.065197,0.091094
6.382400,2.301629,-0.621013,1.049754,0.294928,0.088623,0.105250
6.432263,2.354091,-0.606171,1.054676,0.300475,0.108050,0.116717
6.482125,2.406821,-0.591040,1.060455,0.306511,0.123060,0.124834
6.531988,2.459855,-0.575599,1.066881,0.312865,0.134063,0.129416
6.581850,2.513223,-0.559837,1.073766,0.319356,0.141546,0.130322
6.631713,2.566942,-0.543752,1.080947,0.325798,0.145996,0.127413
6.681575,2.621023,-0.527351,1.088283,0.331997,0.147901,0.120546
6.731438,2.675471,-0.510651,1.095662,0.337751,0.147748,0.109581
6.781300,2.730287,-0.493680,1.102991,0.342854,0.146025,0.094379
6.831163,2.785465,-0.476475,1.110206,0.347090,0.143218,0.074797
6.881025,2.841000,-0.459084,1.117264,0.350238,0.139816,0.050697
6.930888,2.896882,-0.441569,1.124147,0.352069,0.136301,0.021940
6.980750,2.953102,-0.424000,1.130858,0.352354,0.132832,-0.011117
7.030613,3.009653,-0.406459,1.137387,0.350910,0.128936,-0.047184
7.080475,3.066525,-0.389036,1.143700,0.347622,0.124076,-0.084866
7.130338,3.123704,-0.371824,1.149735,0.342443,0.117710,-0.122768
7.180200,3.181176,-0.354917,1.155405,0.335398,0.109299,-0.159494
7.230063,3.238919,-0.338406,1.160592,0.326580,0.098304,-0.193649
7.279925,3.296906,-0.322376,1.165156,0.316152,0.084184,-0.223838
7.329788,3.355101,-0.306901,1.168927,0.304347,0.066399,-0.248665
7.379650,3.413461,-0.292043,1.171710,0.291464,0.044591,-0.266990
7.429513,3.471930,-0.277847,1.173318,0.277824,0.019448,-0.279149
7.479375,3.530448,-0.264344,1.173612,0.263714,-0.007964,-0.286013
7.529238,3.588945,-0.251552,1.172504,0.249375,-0.036575,-0.288451
7.579100,3.647352,-0.239476,1.169962,0.235007,-0.065320,-0.287334
7.628963,3.705596,-0.228114,1.166005,0.220765,-0.093131,-0.283531
7.678825,3.763610,-0.217456,1.160708,0.206762,-0.118941,-0.277913
7.728688,3.821328,-0.207489,1.154195,0.193066,-0.141682,-0.271351
7.778550,3.878694,-0.198197,1.146647,0.179703,-0.160287,-0.264713
